User Input,Chatbot Response,Timestamp
hello,Hi there,2024-09-10 01:21:51
how are you ,My purpose is to assist you,2024-09-10 01:21:57
weather ,"I'm sorry, I cannot provide real-time weather information.",2024-09-10 01:22:20
How do I create a budget,"To make a budget, start by tracking your income and expenses. Then, allocate your income towards essential expenses like rent, food, and bills. Next, allocate some of your income towards savings and debt repayment. Finally, allocate the remainder of your income towards discretionary expenses like entertainment and hobbies.",2024-09-10 01:22:30
Today is a nice weather,"I'm sorry, I cannot provide real-time weather information.",2024-10-03 08:29:52
How's the weather today,"I'm sorry, I cannot provide real-time weather information.",2024-10-03 08:30:47
How old are you, "I don;t have an age. I'm a chatbot", 2024-10-03 08:30:47
Hi,Hello,2024-10-03 08:30:56hello,Hey,2024-12-10 16:02:43
How are you,"I'm fine, thank you",2024-12-10 16:03:07
How do I check my credit score,You can check your credit score for free on several websites such as Credit Karma and Credit Sesame.,2024-12-10 16:04:15
Hi,"I'm fine, thank you",2024-12-10 16:05:07
Hi ,Nothing much,2024-12-10 16:09:41
Hello,"I'm fine, thank you",2024-12-10 16:09:56
How do I create a budget,"A good budgeting strategy is to use the 50/30/20 rule. This means allocating 50% of your income towards essential expenses, 30% towards discretionary expenses, and 20% towards savings and debt repayment.",2024-12-10 16:12:35
How are you,Nothing much,2024-12-10 17:03:46
